@RELATION signals

@ATTRIBUTE heart_rate NUMERIC
@ATTRIBUTE stress_level_value NUMERIC
@ATTRIBUTE eda NUMERIC
@ATTRIBUTE temp NUMERIC
@ATTRIBUTE Theta NUMERIC
@ATTRIBUTE Alpha NUMERIC
@ATTRIBUTE BetaL NUMERIC
@ATTRIBUTE BetaH NUMERIC
@ATTRIBUTE Gamma NUMERIC
@ATTRIBUTE Q15 NUMERIC

@DATA
78,11,0.7622670416666658,28.49465,5.22355162797618,2.36055516279761,1.4461835953869,1.23358189136904,1.05741369955357,-1
79,16,0.7642864208333321,28.3673,5.77656552633928,2.8514042703869,1.77444777589285,1.43879093348214,1.01072122172619,1
81,12,0.7891617666666658,28.248866666666604,6.40373649316899,2.28656092545292,1.32556847237897,0.990711518562518,0.7651161467181461,1
81,17,0.8364138499999989,28.1169999999999,1205.43767405297,589.358710942857,334.686302217857,164.19975913050502,75.54803279375,-1
81,24,0.468710437499999,28.086399999999895,1.13691501975051,0.532189555836055,0.312096792693792,0.195759504603504,0.0943202154737154,-1
83,21,0.356287225,27.7682833333333,0.31901600059523805,0.0745157348214285,0.0651234684523809,0.0355597967261904,0.0313741470238095,-1
82,19,0.00096225,26.587666666666603,1.64666308672408,0.588417929759429,0.3915431627561621,0.190299353875854,0.210820254677754,-1
83,17,0.000877354166666666,25.3491499999999,0.0263940309523809,0.028568947172619,0.0236844136904761,0.0222854407738095,0.0260995014880952,0
80,17,0.000614458333333333,24.835066666666602,0.0442377226190476,0.0492712967261904,0.0447358525297618,0.0415100456845238,0.0467737339285714,1
79,23,0.00020240416666666598,24.3811666666666,0.0363033889218889,0.0384621603801603,0.0343357166617166,0.0297360221265221,0.0311486017226017,-1
77,21,0.00102616736401673,23.996183333333306,0.0228652816964285,0.0255974717261904,0.0221646214285714,0.0203557601190476,0.0247589913690476,1
77,6,0.000613033333333333,23.3945499999999,0.0246731147321428,0.0262636936011904,0.0225957165178571,0.0210601199404761,0.0245014782738095,1
76,9,0.00182698755186721,23.197683333333305,0.0234948963468963,0.0270111489456489,0.0233838238788238,0.0210197129492129,0.0245250429165429,-1
78,19,0.00161000416666666,23.0042,2.82398212144354,1.08047189278227,0.6675374147948481,0.3648978276430061,0.166722554058101,1
78,18,0.000113545833333333,22.8197999999999,15.692392323308198,2.8161506194463395,0.979176698051948,0.390837277511961,0.230665440020505,1
78,18,0.000113545833333333,22.8197999999999,15.692392323308198,2.8161506194463395,0.979176698051948,0.390837277511961,0.230665440020505,1
81,22,0.00045455648535564804,22.680016666666603,37.7470965714285,6.515385859970231,1.23288500461309,0.6406114422619039,0.398731836755952,-1
81,21,0.0006783347280334732,22.548416666666604,35.617676388541604,12.244041058333302,5.79705824866071,3.0070936666666603,1.6431145120535702,1
79,24,-0.000202178423236514,22.438499999999895,9.3137149098604,2.9872794024354,1.89746147920998,1.64884237897237,1.32899913171963,-1
79,24,-0.000202178423236514,22.438499999999895,9.3137149098604,2.9872794024354,1.89746147920998,1.64884237897237,1.32899913171963,-1
79,14,-5.9170124481327696e-05,22.341433333333306,8.14907285208333,4.26696223124999,3.26613034122023,2.46561907098214,1.7126234196428505,-1
78,14,-0.000874654166666666,22.2539,17.623100348065396,6.3880923933035705,3.0519311834821403,2.1704096797619,1.53961953214285,-1
77,21,0.0002173625,22.18525,9.6628878994654,3.7512710568755496,2.46378234793584,1.60383347520047,1.1444123918918898,0
79,18,-0.0012220583333333304,22.122,8.01459563125,3.75835772514881,2.5027461489583303,1.77686728422619,1.4845399776785702,-1
